route_number,route_lat_long
1,"42.3382509,-71.0110964;42.3609921,-71.0516339;42.3555785,-71.0788785;42.3587352,-71.057454;42.3540639,-71.0700921;42.360189,-71.0551145;42.363739,-71.0537;42.3521821,-71.0512911"
2,"42.3414805,-71.0956061;42.339381,-71.094048;42.3763541,-71.0607764;42.3466764,-71.0972178;42.360189,-71.0551145"
3,"42.3609921,-71.0516339;42.3414805,-71.0956061;42.3466764,-71.0972178;42.360189,-71.0551145;42.363739,-71.0537;42.3587627,-71.0572023;42.3550897,-71.0657256"
4,"42.3521821,-71.0512911;42.3763541,-71.0607764;42.363739,-71.0537;42.3466764,-71.0972178;42.3592478,-71.0491475"
5,"42.3378699,-71.0125206;42.3571796,-71.0584927;42.363739,-71.0537;42.3587352,-71.057454;42.3550897,-71.0657256;42.3466764,-71.0972178;42.339381,-71.094048"
